source_id,dataset,split,session_kind,session_root,media_types,rgb_count,mask_count,depth_count,pose_count,file_count,file_size_bytes,sha256,md5,timestamp_start,timestamp_end,timestamp_basis,fps,fps_basis,resolution_width,resolution_height,resolution_consistent,missing_frame_status,missing_frame_count,duplicate_frame_count,corrupt_frame_count,decodability_status,alignment_status,history_roles,is_consumed,is_burned,is_fresh,is_reserved,research_questions_supported
SRC-0003a81fa41326850b04,Unknown,unspecified,manifest_only,E:\linnan\linnan\artifacts.local\r2a2\candidate-traces\C1_CAUSAL_ROUTE_RELATION_FSM\95944aaf0c629530039a63b9\attempts\attempt-001-b259fa259c67,structured,0,0,0,0,2,568725,251be81086b0a6e3a6ee368f0e18ec9baa6c1768abf3a8c66009e8f544488430,ff41801634ca2caf2c76528737de35fd,2021-04-24T11:25:23.408+00:00,2021-04-24T11:26:28.306+00:00,filename_or_metadata,14.220534537,timestamp_delta,,,True,,0,0,0,all_profiled_readable,not_evaluable_no_frame_keys,frame_inventory,,,,,
SRC-0020297a29f28b10e229,Replay,unspecified,manifest_only,E:\linnan\linnan\artifacts.local\evidence\ustrf-sc\2026-07-20-offline-safety-simulation-r1,structured,0,0,0,0,1,1266,b289f53a6dcc815e344fdfeadc917f53929e9bdec26b217b831c0bb5f6c2f9d8,78e7d2ecbbe3975158325646c432f7ad,,,not_evaluable,,not_evaluable,,,True,,0,0,0,all_profiled_readable,not_evaluable_no_frame_keys,replay,,,,,runtime/replay regression and causal trace auditing
SRC-00223c050e1d754d86b5,TartanAir,unspecified,manifest_only,E:\linnan\linnan\artifacts.local\evidence\datasets\tartanair-japanesealley-p000-slice20-v1-20260720,structured,0,0,0,0,1,575,79cf67e141f89d4ad03b5f6ef9a1f5bf4e782f06d378edd55b492eb003c199c7,8927b9d633242fe88fd5374bc8e2fa20,,,not_evaluable,,not_evaluable,,,True,,0,0,0,all_profiled_readable,not_evaluable_no_frame_keys,,,,,,
SRC-00307b1445511dcaa9c5,Unknown,unspecified,manifest_only,E:\linnan\linnan\artifacts.local\work\python-deps\rosbags-cpu-20260720\rosbags-0.11.3.dist-info,structured,0,0,0,0,2,69,bb55246b88d19d9d351ba532f3141d7bb46ce3c5464640f39b3a8aa226c63234,ff12ad2e7e13bc98dde2d78d348edb0b,,,not_evaluable,,not_evaluable,,,True,,0,0,0,all_profiled_readable,not_evaluable_no_frame_keys,,,,,,
SRC-003f4382f3122b8b3d57,Replay,unspecified,media_session,E:\linnan\linnan\artifacts.local\evidence\ustrf-crosscam-codex\truth-geometry-r12c-seen-diagnostic-v1,mask;structured,0,2,0,0,3,13434,eacd00c92afaa29e4ed44b832818747c38be56b3671a76fceb6d51815be6dd24,07340b4f09a1537e3d3fc672d80acb4a,2000.0,2683000.0,filename_or_metadata,0.00025,timestamp_delta,,,True,mask:not_evaluable;metadata:not_evaluable,0,0,0,all_profiled_readable,not_evaluable_single_modality_or_non_frame_pose,replay,,,,,pixel-level segmentation or mask label audit;RGB-mask spatial alignment;runtime/replay regression and causal trace auditing
SRC-00463dc9e3ea994669eb,Unknown,unspecified,manifest_only,E:\linnan\linnan\artifacts.local\evidence\datasets\argoverse-av1-forecasting-sample-v1.1-20260720\extracted\forecasting_sample\data\qa,structured,0,0,0,0,1,2854,4127e4a0880b5b9bd440a677d208bcdb728f27d1557a053d94e74d026e686729,af87121b259c44b78448e051f2edd97e,315968204.00055146,315971000.2842187,filename_or_metadata,0.476204419,timestamp_delta,,,True,,0,0,0,all_profiled_readable,not_evaluable_no_frame_keys,,,,,,
SRC-004786f2b22ebdf49028,Unknown,unspecified,manifest_only,E:\linnan\linnan\artifacts.local\evidence\hftf\stage-c-e0-teacher-opportunity-20260801,structured,0,0,0,0,1,18430,e2d042a2875b4667b6548339d76f38eed484e8c6c6bab5f69a99a44e8f3c3b1e,c592937918a0e8c05a824a061205dd46,,,not_evaluable,,not_evaluable,,,True,,0,0,0,all_profiled_readable,not_evaluable_no_frame_keys,,,,,,
SRC-004d3a2a96e54936677f,SANPO,train,media_session,E:\linnan\linnan\artifacts.local\evidence\datasets\sanpo-v3-canonical-v3-20260713\procedural_evidence\guidetwsi_sanpo_procedural_v1_procedural_tactile_train_01_000034,image;mask;structured,0,2,0,0,3,18766,e23dabb9b5e414414a3cb25b1785121e3629c0be63d4b097b7427787dcdfe2dc,1940699fdb84ab912bfecc1e03af7066,,,not_evaluable,,not_evaluable,,,False,mask:not_evaluable,0,0,0,all_profiled_readable,not_evaluable_single_modality_or_non_frame_pose,source_native_truth;train,,,,,pixel-level segmentation or mask label audit;RGB-mask spatial alignment;traversability/segmentation development or regression
SRC-006cc59e4fece5b5df71,SANPO,replay,manifest_only,E:\linnan\linnan\artifacts.local\evidence\datasets\sanpo-synthetic-replay-20260720\qa,structured,0,0,0,0,1,279,37f3cd5bb12b453c38d3ff9adc017123f887597273912084c006938b0fbf2a5b,9bc373eddd833a2c06875354d107ec7a,,,not_evaluable,,not_evaluable,,,True,,0,0,0,all_profiled_readable,not_evaluable_no_frame_keys,replay,,,,,traversability/segmentation development or regression;runtime/replay regression and causal trace auditing
SRC-006ff145bbcdd631aba0,Replay,unspecified,manifest_only,E:\linnan\linnan\artifacts.local\evidence\dual-loop\f1a-existing-rgb-label-repair-r0\reviews,structured,0,0,0,0,2,77000,65d1dd6183fc96c078db605865a1db0b58e4dca6e50d5ae45c5338f500bd0481,e1b088303578fb91fce67377cf265ca3,,,not_evaluable,,not_evaluable,,,True,,0,0,0,all_profiled_readable,not_evaluable_no_frame_keys,replay,,,,,runtime/replay regression and causal trace auditing
