"dataset","sessions","file_count","bytes","rgb_count","depth_count","pose_count"
"ARKitScenes","39","22248","650052984","6000","5402","28"
"Bonn","72","68945","37387228198","37944","32346","1"
"CID-SIMS","14","36","4247355","27","0","0"
"EgoWalk","10","506","304772725","1313","4","0"
"ETH3D","7","147","7788415","10","36","3"
"JRDB","44","719","1052296530","538","0","1"
"MVSEC","15","50","18275658","24","0","0"
"PublicVideo","275","1162","3519490905","312138","7","9"
"RCLE-composite","216","656","1077729732","28819","34","73"
"Replay","719","35026","6798358312","25697","6","116"
"REveL","32","8667","118262417","0","0","3"
"SANPO","1657","33399","38416580993","16593","0","0"
"Shanghai","9","52","33982120","38","0","0"
"Shiraz","16","5441","316100341","5405","0","0"
"Synthetic","494","4717","3951980065","1524","137","7"
"TartanAir","136","1871","1023900769","817","777","0"
"TUM-RGBD","38","7385","4794823919","3705","3561","1"
"Unknown","3606","55145","54761560040","42876","2890","4444"
